title,budget,revenue,popularity,release_date,imdb_score,runtime,genres
Dumb and Dumber,16000000.0,247275374.0,9.844558,1994-12-16,,,
Eat Drink Man Woman,0.0,7294403.0,4.860016,1994-08-03,,,
Exotica,0.0,0.0,5.378467,1994-09-24,,,
Exit to Eden,0.0,6841570.0,4.322726,1994-10-14,,,
Ed Wood,18000000.0,5887457.0,11.720358,1994-09-27,,,
French Kiss,0.0,0.0,9.146544,1995-05-05,,,
Forget Paris,0.0,0.0,16.236745,1995-05-19,,,
Far from Home: The Adventures of Yellow Dog,0.0,0.0,2.657337,1995-01-13,,,
A Goofy Movie,0.0,35348597.0,10.177977,1995-04-07,,,
Hideaway,15000000.0,12201255.0,8.182165,1995-03-03,,,
Fluke,0.0,0.0,4.953936,1995-06-02,,,
Farinelli,0.0,0.0,8.935058,1994-12-07,,,
Gordy,0.0,3992809.0,0.398924,1995-05-12,,,
Gumby: The Movie,0.0,0.0,0.090452,1995-12-01,,,
The Glass Shield,0.0,0.0,1.012197,1994-09-16,,,
Hoop Dreams,700000.0,7830611.0,9.47666,1994-09-12,,,
Heavenly Creatures,5000000.0,3049135.0,9.438042,1994-09-02,,,
Houseguest,10500000.0,26325256.0,2.688562,1995-01-06,,,
Immortal Beloved,120.0,0.0,7.983666,1994-12-16,,,
Heavyweights,0.0,17689177.0,9.546707,1995-02-17,,,
The Hunted,0.0,0.0,2.756986,1995-02-24,,,
I.Q.,25000000.0,0.0,5.146352,1994-12-24,,,
Interview with the Vampire,60000000.0,223664608.0,11.970205,1994-11-11,,,
Jefferson in Paris,14000000.0,2474000.0,1.596058,1995-03-31,,,
The Jerky Boys,0.0,0.0,0.748846,1995-02-03,,,
Junior,60000000.0,37000000.0,6.710215,1994-11-22,,,
Just Cause,0.0,0.0,9.195256,1995-02-17,,,
A Kid in King Arthur's Court,0.0,0.0,5.874511,1995-08-11,,,
Kiss of Death,40000000.0,0.0,7.797512,1995-04-21,,,
Star Wars,11000000.0,775398007.0,42.149697,1977-05-25,,,
Little Women,18000000.0,0.0,9.774994,1994-12-21,7.3,115.0,
A Little Princess,17000000.0,0.0,7.731725,1995-05-10,,,
Ladybird Ladybird,0.0,0.0,0.84508,1994-02-18,,,
L'Enfer,10000000.0,0.0,1.948315,1994-02-16,,,
Like Water for Chocolate,2000000.0,21665468.0,4.126083,1992-04-16,,,
Legends of the Fall,30000000.0,160638883.0,12.199047,1994-12-16,,,
Major Payne,0.0,0.0,9.253362,1995-03-24,,,
Little Odessa,0.0,0.0,1.861292,1994-10-27,,,
Mi Vida Loca,0.0,0.0,1.788829,1994-06-08,,,
Love Affair,60000000.0,0.0,3.290192,1994-10-21,,,
Losing Isaiah,17000000.0,7603766.0,7.698526,1995-03-17,,,
The Madness of King George,0.0,0.0,4.81307,1994-12-28,,,
Mary Shelley's Frankenstein,45000000.0,112006296.0,14.287753,1994-11-04,,,
Man of the House,0.0,0.0,2.558118,1995-03-03,,,
Mixed Nuts,15000000.0,0.0,2.899608,1994-12-21,,,
Milk Money,0.0,18137661.0,3.770115,1994-08-31,,,
Miracle on 34th Street,0.0,46264384.0,5.831622,1994-11-18,,,
Miami Rhapsody,6.0,5.0,1.137266,1995-01-27,,,
My Family,5500000.0,0.0,3.121288,1995-05-03,,,
Murder in the First,0.0,17381942.0,9.518564,1995-01-20,,,
Nobody's Fool,0.0,0.0,2.891269,1994-12-23,,,
Nell,31000000.0,106683817.0,5.930957,1994-12-23,,,
New Jersey Drive,0.0,0.0,0.629955,1995-04-19,,,
New York Cop,0.0,0.0,0.004537,1993-08-14,,,
Beyond Bedlam,4800000.0,0.0,0.426952,1994-04-22,,,
Nemesis 2 - Nebula,0.0,0.0,1.466491,1995-09-26,,,
Nina Takes a Lover,0.0,0.0,0.769522,1995-03-03,,,
Natural Born Killers,34000000.0,50282766.0,11.226856,1994-08-25,,,
Only You,0.0,0.0,4.936761,1994-09-17,6.5,110.0,
Once Were Warriors,0.0,2201126.0,4.025276,1994-09-02,,,
Poison Ivy II: Lily,0.0,0.0,6.448039,1996-01-16,,,
Outbreak,50000000.0,189859560.0,13.676444,1995-03-10,,,
Leon: The Professional,16000000.0,45284974.0,20.477329,1994-09-14,,,
The Perez Family,11000000.0,2832826.0,1.433544,1995-05-12,,,
A Pyromaniac's Love Story,0.0,0.0,0.463307,1995-04-28,,,
Pulp Fiction,8000000.0,213928762.0,140.950236,1994-09-10,,,
Panther,0.0,6834525.0,7.160149,1995-11-10,,,
Pushing Hands,400000.0,152322.0,1.638622,1992-02-01,,,
Priest,0.0,4176932.0,1.881932,1994-01-01,,,
Quiz Show,0.0,0.0,7.772505,1994-09-16,,,
Picture Bride,0.0,0.0,1.296912,1995-05-05,,,
Queen Margot,0.0,0.0,4.405405,1994-05-13,,,
The Quick and the Dead,32000000.0,18552460.0,7.54701,1995-02-09,6.5,107.0,
Roommates,22000000.0,12400000.0,3.395867,1995-03-01,,,
Prêt-à-Porter,15000000.0,11300653.0,6.259433,1994-12-23,,,
Three Colors: Red,0.0,0.0,7.832755,1994-05-27,,,
Three Colors: Blue,0.0,0.0,8.843517,1993-01-10,,,
Three Colors: White,0.0,0.0,6.5898,1994-01-26,,,
"Red Firecracker, Green Firecracker",0.0,0.0,0.078257,1994-10-14,,,
Rent-a-Kid,0.0,0.0,1.155255,1995-01-01,,,
Relative Fear,0.0,0.0,0.499601,1995-10-03,,,
Stuart Saves His Family,0.0,0.0,1.390885,1995-04-12,,,
The Swan Princess,35000000.0,9771658.0,8.910462,1994-11-18,,,
The Secret of Roan Inish,0.0,0.0,1.750481,1994-01-01,,,
The Specialist,45000000.0,170362582.0,10.388183,1994-10-07,,,
Stargate,55000000.0,196567262.0,13.328924,1994-10-27,,,
The Santa Clause,22000000.0,189833357.0,9.665424,1994-11-10,,,
The Shawshank Redemption,25000000.0,28341469.0,51.645403,1994-09-23,,,
Shallow Grave,0.0,0.0,8.223026,1994-12-22,,,
Suture,0.0,102780.0,1.298224,1993-09-14,,,
Strawberry and Chocolate,0.0,0.0,1.777197,1993-01-01,,,
Swimming with Sharks,0.0,0.0,5.869261,1994-09-10,,,
The Sum of Us,32.0,0.0,1.407427,1994-07-12,,,
Senior Trip,0.0,0.0,5.05806,1995-09-08,,,
To Live,0.0,0.0,5.260627,1994-06-30,,,
Tank Girl,25000000.0,4064495.0,7.602087,1995-03-31,,,
Tales from the Crypt: Demon Knight,0.0,0.0,9.455342,1995-01-13,,,
Star Trek: Generations,38000000.0,120000000.0,8.105708,1994-11-17,,,
Tales from the Hood,6000000.0,12000000.0,2.86007,1995-05-24,,,
Tom & Viv,0.0,0.0,0.704204,1994-04-15,,,
Village of the Damned,0.0,0.0,6.529879,1995-04-28,,,
Tommy Boy,0.0,32648673.0,11.971318,1995-03-31,,,
Vanya on 42nd Street,0.0,0.0,7.039846,1994-09-13,,,
The Underneath,6500000.0,0.0,2.059771,1995-04-28,,,
The Walking Dead,0.0,0.0,0.620873,1995-02-24,8.2,46.0,
What's Eating Gilbert Grape,11000000.0,10032765.0,10.3919,1993-12-17,,,
Virtuosity,30000000.0,24048000.0,5.188399,1995-08-04,,,
While You Were Sleeping,17000000.0,182057016.0,15.783615,1995-04-21,,,
The War,0.0,0.0,3.908596,1994-11-04,,,
Double Happiness,0.0,759393.0,0.372239,1994-09-07,,,
Muriel's Wedding,3000000.0,15119639.0,5.254847,1994-09-29,,,
The Baby-Sitters Club,0.0,0.0,2.15805,1995-08-18,7.3,27.0,
Ace Ventura: Pet Detective,15000000.0,107217396.0,11.247957,1994-02-04,,,
"The Adventures of Priscilla, Queen of the Desert",0.0,11220670.0,8.328596,1994-05-31,,,
Backbeat,0.0,0.0,2.487951,1994-04-01,,,
